Video ID,Title,PublishDay,PublishDate,PublishTime,Duration(seconds),Likes,ChannelName,SubscriberCount
bj4BEh-FsOA,DARKEST AJ AND HARRY PINERO BLINDFOLD FAST FOOD CHALLENGE!!,Sunday,7/26/2020,18:00:08,854,8994,Footasylum,2710000
Am0SzudhvjE,CHUNKZ SMASHES FILLY IN THE FACE (Chunkz Soccer Aid Redemption feat Yung Filly Harry Pinero),Tuesday,9/22/2020,15:45:00,1133,74272,Pro:Direct Soccer,818000
2RnLqVXZjeY,GENERAL KNOWLEDGE QUIZ FORFEITS ft HARRY PINERO,Friday,10/9/2020,18:59:30,1115,187164,Yung Filly,1640000
iX2DDdd9Ukg,"CHUNKZ, FILLY, HARRY PINERO + KONAN ARE BACK | Does The Shoe Fit? Season 4 Episode 1",Sunday,10/18/2020,18:00:08,1013,264700,Footasylum,2710000
sihX9huKayQ,"CHUNKZ SINGS, FILLY CLARTS!! | Does The Shoe Fit? Season 4 Episode 3",Sunday,11/1/2020,19:00:05,899,160644,Footasylum,2710000
hXWqMcKIdvc,'I NEARLY Quit!!' - Harry Pinero aka Playboi Clarti || Halfcast Podcast,Sunday,11/1/2020,12:01:33,3929,2971,Chuckie Online,127000
AJd5qSiz_Vg,"That time, on 90s Baby Show ft Harry Pinero, when temi forgot his height.",Thursday,11/12/2020,16:18:36,23,33,Podcast Central,1430
IoOB38u5SQQ,CHUNKZ AND FILLY GET REJECTED!! WHO WINS? | Does The Shoe Fit? Season 4 | Episode 5,Sunday,11/15/2020,19:00:06,887,202617,Footasylum,2710000
IoOB38u5SQQ,CHUNKZ AND FILLY GET REJECTED!! WHO WINS? | Does The Shoe Fit? Season 4 | Episode 5,Sunday,11/15/2020,19:00:06,887,202617,Footasylum,2710000
dmhIcRKWLH4,GENERAL KNOWLEDGE QUIZ FORFEITS FT HARRY PINERO & DARKEST MAN,Friday,11/20/2020,20:18:21,755,153312,Chunkz,3270000
