Date,AMZN,MSFT,AAPL,NFLX,GOOG,JNJ,AZN,PFE
3/15/2012,184.4299927,32.84999847,20.91285706,15.73857117,309.4052734,65.06999969,22.37000084,20.78747559
3/16/2012,185.0500031,32.59999847,20.91321373,15.70857143,311.3529663,65.12000275,22.55500031,20.81593895
3/19/2012,185.5200043,32.20000076,21.46785736,16.33285713,315.8062744,65.20999908,22.69000053,20.75901222
3/20/2012,192.3300018,31.98999977,21.6414299,16.43142891,315.5621948,64.95999908,22.84000015,20.68311119
3/21/2012,191.7299957,31.90999985,21.5178566,17.15714264,318.7950745,64.76000214,22.70999908,20.65464973
3/22/2012,192.3999939,32.0,21.40500069,16.9614296,321.8187561,64.45999908,22.64999962,20.61669731
3/23/2012,195.0399933,32.00999832,21.28750038,17.17000008,320.0952148,64.55000305,22.59000015,20.7020874
3/26/2012,202.8699951,32.59000015,21.67785645,17.4271431,323.4526062,65.16999817,22.82500076,21.02466774
3/27/2012,205.4400024,32.52000046,21.94571495,17.23857117,322.3019409,65.40000153,22.63500023,21.34724808
3/28/2012,201.1600037,32.18999863,22.05785751,16.97285652,326.6556091,65.62000275,22.33499908,21.26185989
3/29/2012,204.6100006,32.11999893,21.78071404,16.43571472,322.9943237,65.54000092,22.25,21.27134705
3/30/2012,202.5099945,32.25999832,21.41250038,16.43428612,319.4227295,65.95999908,22.24500084,21.4895649
4/2/2012,198.0500031,32.29000092,22.09392929,16.28142929,322.2521057,66.20999908,22.63999939,21.43263817
4/3/2012,199.6600037,31.94000053,22.47571373,16.13714218,320.1101379,65.87999725,22.53499985,21.38519859
4/4/2012,193.9900055,31.20999908,22.29678535,15.7514286,316.3890991,65.38999939,22.18499947,21.24288368
4/5/2012,194.3899994,31.52000046,22.63142967,15.78571415,314.9793701,65.33999634,22.10000038,21.19544601
4/9/2012,191.8699951,31.10000038,22.72249985,15.23999977,314.242157,64.91999817,22.02499962,20.92030334
4/10/2012,186.9799957,30.46999931,22.44428635,14.56000042,312.2595825,64.19999695,21.97500038,20.86337852
4/11/2012,187.9700012,30.35000038,22.36428642,14.25857067,316.792572,64.12999725,22.20999908,20.8254261
4/12/2012,190.6900024,30.97999954,22.24178505,14.89428616,324.2894897,64.15000153,22.51499939,20.79696465
4/13/2012,188.4600067,30.80999947,21.61535645,14.88142872,311.1337891,63.54000092,22.11000061,20.73055077
4/16/2012,185.5,31.07999992,20.71892929,14.44999981,301.9033813,63.97999954,22.36000061,20.85388947
4/17/2012,188.3899994,31.44000053,21.77499962,15.28857136,303.6468506,64.22000122,22.63500023,21.16698265
4/18/2012,191.0700073,31.13999939,21.72642899,15.27999973,302.5908203,63.25999832,22.69000053,21.29981041
4/19/2012,191.1000061,31.01000023,20.97999954,15.29857063,298.5310364,63.02999878,22.69499969,21.19544601
4/20/2012,189.9799957,32.41999817,20.46357155,15.15857124,296.9170837,63.70999908,23.11000061,21.4041748
4/23/2012,188.2400055,32.11999893,20.41785622,14.54857063,297.6842041,63.36999893,22.77000046,21.23339653
4/24/2012,190.3300018,31.92000008,20.01000023,12.52571392,299.5123596,63.77000046,22.90999985,21.47058868
4/25/2012,194.4199982,32.20000076,21.7857132,12.33571434,303.7215881,64.43000031,22.95499992,21.70778084
