Unnamed: 0,Books,Authors,Language,First_Published,Sales_in_millions
0,A Tale of Two Cities,Charles Dickens,English,1859,200.0
1,The Little Prince (Le Petit Prince),Antoine de Saint-Exupéry,French,1943,200.0
2,Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,120.0
3,And Then There Were None,Agatha Christie,English,1939,100.0
4,Dream of the Red Chamber (紅樓夢),Cao Xueqin,Chinese,1791,100.0
5,The Hobbit,J. R. R. Tolkien,English,1937,100.0
6,She: A History of Adventure,H. Rider Haggard,English,1887,83.0
7,The Da Vinci Code,Dan Brown,English,2003,80.0
8,Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,77.0
9,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,English,1999,65.0
