Index,Date,Open,High,Low,Close,Adj Close,Volume
NYA,12/31/1965,528.690002,528.690002,528.690002,528.690002,528.690002,0.0
NYA,1/3/1966,527.210022,527.210022,527.210022,527.210022,527.210022,0.0
NYA,1/4/1966,527.840027,527.840027,527.840027,527.840027,527.840027,0.0
NYA,1/5/1966,531.119995,531.119995,531.119995,531.119995,531.119995,0.0
NYA,1/6/1966,532.070007,532.070007,532.070007,532.070007,532.070007,0.0
NYA,1/7/1966,532.599976,532.599976,532.599976,532.599976,532.599976,0.0
NYA,1/10/1966,533.869995,533.869995,533.869995,533.869995,533.869995,0.0
NYA,1/11/1966,534.289978,534.289978,534.289978,534.289978,534.289978,0.0
NYA,1/12/1966,533.340027,533.340027,533.340027,533.340027,533.340027,0.0
NYA,1/13/1966,534.400024,534.400024,534.400024,534.400024,534.400024,0.0
NYA,1/14/1966,535.450012,535.450012,535.450012,535.450012,535.450012,0.0
NYA,1/17/1966,537.460022,537.460022,537.460022,537.460022,537.460022,0.0
NYA,1/18/1966,538.940002,538.940002,538.940002,538.940002,538.940002,0.0
NYA,1/19/1966,537.669983,537.669983,537.669983,537.669983,537.669983,0.0
NYA,1/20/1966,535.669983,535.669983,535.669983,535.669983,535.669983,0.0
NYA,1/21/1966,535.97998,535.97998,535.97998,535.97998,535.97998,0.0
NYA,1/24/1966,537.669983,537.669983,537.669983,537.669983,537.669983,0.0
NYA,1/25/1966,538.099976,538.099976,538.099976,538.099976,538.099976,0.0
NYA,1/26/1966,537.570007,537.570007,537.570007,537.570007,537.570007,0.0
NYA,1/27/1966,537.359985,537.359985,537.359985,537.359985,537.359985,0.0
NYA,1/28/1966,535.669983,535.669983,535.669983,535.669983,535.669983,0.0
NYA,1/31/1966,533.340027,533.340027,533.340027,533.340027,533.340027,0.0
NYA,2/1/1966,529.109985,529.109985,529.109985,529.109985,529.109985,0.0
NYA,2/2/1966,531.440002,531.440002,531.440002,531.440002,531.440002,0.0
NYA,2/3/1966,532.070007,532.070007,532.070007,532.070007,532.070007,0.0
NYA,2/4/1966,535.450012,535.450012,535.450012,535.450012,535.450012,0.0
NYA,2/7/1966,537.25,537.25,537.25,537.25,537.25,0.0
NYA,2/8/1966,536.830017,536.830017,536.830017,536.830017,536.830017,0.0
NYA,2/9/1966,539.890015,539.890015,539.890015,539.890015,539.890015,0.0
NYA,2/10/1966,538.409973,538.409973,538.409973,538.409973,538.409973,0.0
NYA,2/11/1966,538.309998,538.309998,538.309998,538.309998,538.309998,0.0
NYA,2/14/1966,537.780029,537.780029,537.780029,537.780029,537.780029,0.0
NYA,2/15/1966,535.450012,535.450012,535.450012,535.450012,535.450012,0.0
NYA,2/16/1966,535.349976,535.349976,535.349976,535.349976,535.349976,0.0
NYA,2/17/1966,532.48999,532.48999,532.48999,532.48999,532.48999,0.0
NYA,2/18/1966,531.440002,531.440002,531.440002,531.440002,531.440002,0.0
NYA,2/21/1966,528.26001,528.26001,528.26001,528.26001,528.26001,0.0
NYA,2/23/1966,525.940002,525.940002,525.940002,525.940002,525.940002,0.0
NYA,2/24/1966,522.450012,522.450012,522.450012,522.450012,522.450012,0.0
NYA,2/25/1966,523.929993,523.929993,523.929993,523.929993,523.929993,0.0
NYA,2/28/1966,524.559998,524.559998,524.559998,524.559998,524.559998,0.0
