VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
JTDKN3DP4C,Snohomish,Monroe,WA,98272.0,2012,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,0,39.0,181401818,POINT (-121.972215 47.85674),PUGET SOUND ENERGY INC,53061052204.0
1N4AZ0CP8F,Walla Walla,College Place,WA,99324.0,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,16.0,101753753,POINT (-118.38409 46.043895),PACIFICORP,53071920302.0
1C4JJXR67N,Chelan,Wenatchee,WA,98801.0,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,12.0,217916443,POINT (-120.32009 47.42255),PUD NO 1 OF CHELAN COUNTY,53007961200.0
1N4AZ1CP2J,Snohomish,Edmonds,WA,98020.0,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,21.0,288268921,POINT (-122.37507 47.80807),PUGET SOUND ENERGY INC,53061050300.0
1G1RB6S56H,Snohomish,Lynnwood,WA,98037.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,32.0,193950627,POINT (-122.297265 47.84182),PUGET SOUND ENERGY INC,53061051702.0
KNDCC3LG0N,Whitman,Pullman,WA,99163.0,2022,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,9.0,182136783,POINT (-117.17912 46.730885),AVISTA CORP,53075000400.0
WBY7Z4C51J,Island,Clinton,WA,98236.0,2018,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,0,10.0,228913702,POINT (-122.359364 47.9796552),PUGET SOUND ENERGY INC,53029972100.0
1G1FZ6S02L,Thurston,Yelm,WA,98597.0,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,20.0,144925595,POINT (-122.61023 46.94126),PUGET SOUND ENERGY INC,53067012531.0
7SAYGDEE8P,Snohomish,Bothell,WA,98021.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1.0,229544038,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051937.0
KNDCE3LG2K,Island,Coupeville,WA,98239.0,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,10.0,476710321,POINT (-122.6880708 48.2179983),PUGET SOUND ENERGY INC,53029971100.0
