Facility ID,Restaurant Name,Address,Zip Code,Latitude,Longitude,Inspection Date,Process Description,Score
10026046,Chili's Grill & Bar #1423,9900 S IH,78748,30.1532581,-97.838136,2021-06-15,Routine Inspection,83
11905686,Sodalis Austin,7017 MANCHACA RD,78745,30.20045802,-97.806537029,2022-09-19,Routine Inspection,93
12186636,PF- El Taquito,20007 FM 685 RD,78660,30.482028988,-97.584834014,2023-05-19,Routine Inspection,82
12186075,Brooklyn Pizzeria & Bar,2026 S LAMAR BLVD,78704,30.249217982,-97.76850297,2022-01-12,Routine Inspection,80
10159246,Korean Grill,10901 N LAMAR BLVD,78753,30.377730997,-97.686110035,2022-08-10,Routine Inspection,93
11757980,TSO Chinese Delivery,3909 N IH,78722,30.287375,-97.71643,2022-05-31,Routine Inspection,95
12393133,Domino's,2407 S CONGRESS AVE,78704,30.237862012,-97.753394003,2023-08-17,Routine Inspection,95
12392375,Beer Geek,2051 W FM 1626 RD,78652,30.137364781,-97.850272598,2023-01-13,Routine Inspection,93
2802940,El Pollo Rico #1,9435 N IH,78753,30.36197,-97.68607,2022-10-25,Routine Inspection,82
2803809,Mi Tiendita,1725 OHLEN RD,78757,30.362669011,-97.718485975,2023-08-16,Routine Inspection,86
11584275,Joe Lee Johnson Elem.,2800 SAULS DR,78728,30.456730016,-97.681279964,2023-03-20,Routine Inspection,100
10131172,Perry's Steakhouse & Grill,114 W 7TH ST,78701,30.269617983,-97.743317027,2022-04-06,Routine Inspection,80
2801690,Maudie's North Lamar,10205 N LAMAR BLVD,78753,30.371564012,-97.691392981,2023-07-06,Routine Inspection,95
12395055,COTA - SS Pizza Turn 1,9201 CIRCUIT OF THE AMERICAS BLVD,78617,30.133811999,-97.64133701,2022-03-25,Routine Inspection,91
11574254,K Bop,2002 GUADALUPE ST,78705,30.282893996,-97.742328969,2022-03-01,Routine Inspection,58
12185722,LW - Double Dave's,3100 S FM 620 RD,78738,30.333321057,-97.968423542,2023-01-05,Routine Inspection,97
2802445,Bill Miller's Bar-B-Q,136 W SLAUGHTER LN,78748,30.16769798,-97.789916973,2023-09-25,Routine Inspection,93
10801551,Bob's Steak and Chop House,301 LAVACA ST,78701,30.266143014,-97.745892032,2021-07-15,Routine Inspection,76
12395972,Torchy's Tacos,8601 S CONGRESS AVE,78745,30.172722009,-97.784920017,2022-09-22,Routine Inspection,97
11809319,OOB - Tapioca House,1906 GUADALUPE ST,78705,30.282521001,-97.742362999,2021-03-17,Routine Inspection,74
12397318,EveryBuddy Eatz LLC,5610 N IH,78757,30.3626016,-97.7326711,2023-01-12,Routine Inspection,96
11522498,"Line ATX Restaurant, The",111 E CESAR CHAVEZ ST,78701,30.262764017,-97.743926979,2022-11-10,Routine Inspection,82
11785125,Honest Mary's,9828 GREAT HILLS TRL,78759,30.39543102,-97.74829504,2022-09-26,Routine Inspection,90
11626719,Grand Oriental Express Co. Ltd,7517 CAMERON RD,78752,30.329366997,-97.688871034,2023-11-30,Routine Inspection,79
2800461,Barbara Jordan Elem School,6711 JOHNNY MORRIS RD,78724,30.300896019,-97.64679497,2021-04-01,Routine Inspection,100
11659764,LW - Primrose School of Lakeway,601 S FM 620 RD,78734,30.37070906,-97.948196935,2023-01-04,Routine Inspection,100
2800884,Sam's Club #6453 Cafe,9700 N CAPITAL OF TEXAS HWY,78759,30.391690009,-97.742354031,2021-02-03,Routine Inspection,97
12397672,BC - Cost Plus World Market,12700 SHOPS PKWY,78738,30.305697005,-97.940019005,2023-05-25,Routine Inspection,99
10323264,Barnison Catering,2614 EXPOSITION BLVD,78703,30.302030007,-97.765573998,2022-04-27,Routine Inspection,90
