Number,num,Title,smiles,ho,lu,fermi,gap,molecular_weight,nonh_atoms,logp,saturation,aromatic,double_or_triple_bond,small_rings,only_CH,heteroatoms,has_O,O_single,O_single_aromatic_carbon,O_double,carbonyl,acrolein,has_N,amine,N_single_aromatic_carbon,aromatic_n,cyano,nitro,nitroso,has_N=O,acrylonitrile
174-06,19,C2H4_32,C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C,-4.509,-3.124,-3.8165,1.3850000000000002,834.52,64,18.04,False,False,32,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-07,20,C2H4_C4,C=C/C=C\C=C/C=C,-5.767,-1.9,-3.8335,3.867,106.08,8,2.47,False,False,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-08,21,C2H4_C8,C=C/C=C\C=C/C=C\C=C/C=C\C=C/C=C,-5.258,-2.449,-3.8535,2.809,210.14,16,4.7,False,False,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-09,22,C2H4_C16,C=C/C=C\C=C/C=C\C=C/C=C\C=C/C=C\C=C/C=C\C=C/C=C\C=C/C=C\C=C/C=C,-5.005,-2.741,-3.873,2.264,418.27,32,9.15,False,False,16,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-10,23,C2H2,C#C,-8.144,0.531,-3.8065,8.675,26.02,2,0.25,False,False,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-11,24,C4H2,C#CC#C,-7.439,-1.116,-4.2775,6.323,50.02,4,0.25,False,False,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-12,25,C8H2,C#CC#CC#CC#C,-6.833,-2.515,-4.674,4.318,98.02,8,0.26,False,False,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-13,26,C16H2,C#CC#CC#CC#CC#CC#CC#CC#C,-6.41,-3.467,-4.9385,2.943,194.02,16,0.27,False,False,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-14,27,C32H2,C#CC#CC#CC#CC#CC#CC#CC#CC#CC#CC#CC#CC#CC#CC#CC#C,-6.179,-4.019,-5.099,2.16,386.02,32,0.3,False,False,16,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-24,28,PhC2H3,C=CC1=CC=CC=C1,-6.36,-1.309,-3.8345,5.051,104.06,8,2.33,False,True,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
