Number,num,Title,smiles,ho,lu,fermi,gap,molecular_weight,nonh_atoms,logp,saturation,aromatic,double_or_triple_bond,small_rings,only_CH,heteroatoms,has_O,O_single,O_single_aromatic_carbon,O_double,carbonyl,acrolein,has_N,amine,N_single_aromatic_carbon,aromatic_n,cyano,nitro,nitroso,has_N=O,acrylonitrile
312-43,88,pDiCF3,FC(F)(F)C1=CC=C(C(F)(F)F)C=C1,-8.107,-1.924,-5.015499999999999,6.183,214.02,14,3.72,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-44,89,BnCl,ClCC1=CC=CC=C1,-7.135,-1.101,-4.118,6.034,126.02,8,2.43,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-45,90,pDiCH2Cl,ClCC1=CC=C(CCl)C=C1,-7.203,-1.556,-4.3795,5.647,174.0,10,3.16,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-46,91,CCl3,ClC(Cl)(Cl)C1=CC=CC=C1,-7.414,-1.532,-4.473,5.882,193.95,10,3.51,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-47,92,pDiCCl3,ClC(Cl)(Cl)C1=CC=C(C(Cl)(Cl)Cl)C=C1,-7.676,-2.186,-4.931,5.49,309.84,14,5.34,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-48,93,PhF,FC1=CC=CC=C1,-6.993,-0.755,-3.874,6.238,96.04,7,1.83,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-49,94,oF2,FC1=C(F)C=CC=C1,-7.11,-0.894,-4.002,6.216,114.03,8,1.96,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-50,95,pF2,FC1=CC=C(F)C=C1,-6.958,-1.09,-4.024,5.868,114.03,8,1.96,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-51,96,SymF3,FC1=CC(F)=CC(F)=C1,-7.483,-0.879,-4.181,6.603999999999999,132.02,9,2.1,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-52,97,pF4,FC1=C(F)C=C(F)C(F)=C1,-7.225,-1.369,-4.297,5.856,150.01,10,2.24,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-53,98,PhCl,ClC1=CC=CC=C1,-6.941,-0.804,-3.8725,6.137,112.01,7,2.34,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-54,99,oCl2,ClC1=C(Cl)C=CC=C1,-7.026,-1.065,-4.0455,5.961,145.97,8,2.99,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312-55,100,pCl2,ClC1=CC=C(Cl)C=C1,-6.905,-1.152,-4.0285,5.753,145.97,8,2.99,False,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
